ticket_id,department,category,priority,status,open_date,resolution_days,agent_id,satisfaction_score,resolution_date,sla_target_days,sla_met
TKT_00027,Finance,Payroll,Low,Resolved,2026-05-08,27.0,AGT_030,2.0,2026-06-04,14,0
TKT_00028,HR,Software,Medium,Escalated,2025-04-25,29.0,AGT_001,,2025-05-24,7,0
TKT_00029,Facilities,Payroll,Medium,Escalated,2024-09-15,19.0,AGT_020,2.0,2024-10-04,7,0
TKT_00030,Facilities,Onboarding,Medium,Resolved,2026-03-29,,AGT_011,1.0,,7,0
TKT_00031,HR,Software,Medium,Resolved,2026-04-24,,AGT_028,,,7,0
TKT_00032,IT,Payroll,High,Resolved,2025-07-22,25.0,AGT_017,,2025-08-16,3,0
TKT_00033,Finance,Software,Critical,Open,2025-09-20,3.0,AGT_025,,2025-09-23,1,0
TKT_00034,HR,Hardware,Critical,Resolved,2024-09-21,28.0,AGT_040,5.0,2024-10-19,1,0
TKT_00035,HR,Maintenance,Low,Resolved,2024-08-25,,AGT_032,1.0,,14,0
TKT_00036,Facilities,Maintenance,High,Escalated,2025-11-13,21.0,AGT_040,5.0,2025-12-04,3,0
TKT_00037,IT,Onboarding,Critical,Resolved,2026-03-27,6.0,AGT_023,1.0,2026-04-02,1,0
TKT_00038,IT,Onboarding,High,Resolved,2024-09-30,7.0,AGT_003,,2024-10-07,3,0
TKT_00039,Operations,Access,Low,Resolved,2026-02-05,23.0,AGT_047,,2026-02-28,14,0
TKT_00040,HR,Network,Medium,Open,2025-01-12,21.0,AGT_035,,2025-02-02,7,0
TKT_00041,HR,Network,High,Resolved,2025-09-11,,AGT_004,,,3,0
TKT_00042,HR,Payroll,High,Open,2026-01-27,18.0,AGT_050,4.0,2026-02-14,3,0
TKT_00043,Facilities,Maintenance,High,Escalated,2026-02-04,6.0,AGT_020,4.0,2026-02-10,3,0
TKT_00044,HR,Network,High,Escalated,2025-08-03,9.0,AGT_045,,2025-08-12,3,0
TKT_00045,Operations,Access,Critical,Resolved,2024-08-29,21.0,AGT_026,3.0,2024-09-19,1,0
TKT_00046,IT,Access,Low,Escalated,2025-02-05,8.0,AGT_027,5.0,2025-02-13,14,1
TKT_00047,Facilities,Maintenance,Medium,Escalated,2024-08-17,27.0,AGT_001,5.0,2024-09-13,7,0
TKT_00048,Finance,Onboarding,Low,Resolved,2025-02-23,2.0,AGT_045,3.0,2025-02-25,14,1
TKT_00049,Facilities,Software,Low,Open,2025-11-13,2.0,AGT_041,2.0,2025-11-15,14,1
TKT_00050,HR,Network,Critical,Escalated,2025-08-03,13.0,AGT_025,1.0,2025-08-16,1,0
TKT_00051,Operations,Software,Low,Resolved,2025-04-11,7.0,AGT_015,,2025-04-18,14,1
TKT_00052,Facilities,Payroll,Critical,Resolved,2024-11-03,19.0,AGT_033,,2024-11-22,1,0
TKT_00053,HR,Network,High,Resolved,2024-09-11,11.0,AGT_046,,2024-09-22,3,0
TKT_00054,IT,Payroll,Low,Resolved,2024-11-19,16.0,AGT_012,5.0,2024-12-05,14,0
TKT_00055,Operations,Payroll,Medium,Resolved,2024-11-06,30.0,AGT_033,,2024-12-06,7,0
TKT_00056,HR,Onboarding,Critical,Open,2024-06-30,5.0,AGT_024,4.0,2024-07-05,1,0
TKT_00057,Facilities,Access,High,Escalated,2025-05-13,8.0,AGT_003,5.0,2025-05-21,3,0
TKT_00058,Operations,Onboarding,High,Resolved,2024-09-16,18.0,AGT_046,4.0,2024-10-04,3,0
TKT_00059,HR,Hardware,High,Escalated,2025-03-07,19.0,AGT_019,,2025-03-26,3,0
TKT_00060,Facilities,Access,High,Resolved,2025-10-07,19.0,AGT_007,,2025-10-26,3,0
TKT_00061,Finance,Maintenance,Critical,Escalated,2025-11-19,8.0,AGT_027,3.0,2025-11-27,1,0
TKT_00062,Finance,Hardware,Critical,Resolved,2025-11-09,5.0,AGT_010,2.0,2025-11-14,1,0
TKT_00063,HR,Hardware,Low,Resolved,2025-01-29,3.0,AGT_049,3.0,2025-02-01,14,1
TKT_00064,Operations,Software,Medium,Resolved,2025-12-21,28.0,AGT_030,,2026-01-18,7,0
TKT_00065,Facilities,Onboarding,Low,Resolved,2025-04-30,,AGT_022,,,14,0
TKT_00066,Operations,Onboarding,Medium,Resolved,2025-06-18,26.0,AGT_001,4.0,2025-07-14,7,0
TKT_00067,Facilities,Onboarding,Low,Resolved,2025-09-09,20.0,AGT_041,,2025-09-29,14,0
TKT_00068,Finance,Maintenance,Medium,Resolved,2025-01-23,,AGT_041,,,7,0
TKT_00069,Finance,Access,Critical,Open,2025-03-20,15.0,AGT_011,1.0,2025-04-04,1,0
TKT_00070,HR,Hardware,Low,Open,2025-05-25,18.0,AGT_002,3.0,2025-06-12,14,0
TKT_00071,Facilities,Software,Critical,Open,2025-02-19,1.0,AGT_041,4.0,2025-02-20,1,1
TKT_00072,IT,Network,High,Resolved,2024-09-07,4.0,AGT_040,2.0,2024-09-11,3,0
TKT_00073,Operations,Onboarding,Low,Resolved,2026-04-10,18.0,AGT_011,1.0,2026-04-28,14,0
TKT_00074,Finance,Access,Critical,Resolved,2025-07-16,25.0,AGT_012,2.0,2025-08-10,1,0
TKT_00075,Facilities,Access,Critical,Resolved,2024-08-17,4.0,AGT_022,2.0,2024-08-21,1,0
TKT_00076,Operations,Hardware,Low,Escalated,2024-10-19,6.0,AGT_012,,2024-10-25,14,1
TKT_00077,IT,Network,Medium,Resolved,2025-05-12,24.0,AGT_008,2.0,2025-06-05,7,0
TKT_00078,IT,Network,Medium,Open,2026-01-11,9.0,AGT_012,5.0,2026-01-20,7,0
TKT_00079,Operations,Software,Medium,Resolved,2025-05-25,25.0,AGT_050,1.0,2025-06-19,7,0
TKT_00080,Facilities,Onboarding,Medium,Open,2024-08-09,,AGT_050,4.0,,7,0
TKT_00081,HR,Onboarding,Low,Resolved,2026-05-26,28.0,AGT_015,2.0,2026-06-23,14,0
TKT_00082,Finance,Access,High,Open,2026-05-10,27.0,AGT_036,,2026-06-06,3,0
TKT_00083,HR,Onboarding,Critical,Resolved,2025-10-14,20.0,AGT_001,3.0,2025-11-03,1,0
TKT_00084,Facilities,Access,High,Resolved,2025-10-16,,AGT_012,5.0,,3,0
TKT_00085,HR,Network,High,Resolved,2026-05-29,6.0,AGT_038,3.0,2026-06-04,3,0
TKT_00086,Facilities,Access,Critical,Resolved,2024-11-25,25.0,AGT_044,1.0,2024-12-20,1,0
TKT_00087,IT,Maintenance,High,Resolved,2025-04-25,30.0,AGT_047,5.0,2025-05-25,3,0
TKT_00088,HR,Payroll,Medium,Resolved,2024-10-13,,AGT_019,1.0,,7,0
TKT_00089,HR,Payroll,Low,Open,2025-07-07,1.0,AGT_017,5.0,2025-07-08,14,1
TKT_00090,IT,Software,High,Open,2024-07-09,,AGT_045,3.0,,3,0
TKT_00091,HR,Software,High,Resolved,2026-03-13,27.0,AGT_025,5.0,2026-04-09,3,0
TKT_00092,HR,Maintenance,High,Resolved,2026-01-10,8.0,AGT_009,2.0,2026-01-18,3,0
TKT_00093,IT,Maintenance,High,Resolved,2025-10-29,,AGT_032,3.0,,3,0
TKT_00094,IT,Software,High,Resolved,2026-03-15,3.0,AGT_025,,2026-03-18,3,1
TKT_00095,Operations,Maintenance,High,Open,2024-10-19,,AGT_016,4.0,,3,0
TKT_00096,HR,Hardware,Low,Resolved,2026-01-20,3.0,AGT_021,4.0,2026-01-23,14,1
TKT_00097,HR,Access,Medium,Open,2025-08-29,18.0,AGT_047,4.0,2025-09-16,7,0
TKT_00098,Finance,Payroll,Critical,Resolved,2024-09-08,5.0,AGT_007,3.0,2024-09-13,1,0
TKT_00099,IT,Onboarding,Medium,Resolved,2024-09-04,18.0,AGT_019,3.0,2024-09-22,7,0
TKT_00100,Facilities,Software,High,Resolved,2026-04-13,,AGT_033,,,3,0
TKT_00101,IT,Software,Critical,Resolved,2024-12-19,20.0,AGT_030,3.0,2025-01-08,1,0
TKT_00102,HR,Hardware,Low,Resolved,2025-09-16,7.0,AGT_017,4.0,2025-09-23,14,1
TKT_00103,IT,Access,Critical,Resolved,2024-06-16,25.0,AGT_038,3.0,2024-07-11,1,0
TKT_00104,IT,Access,Critical,Escalated,2025-10-29,7.0,AGT_031,,2025-11-05,1,0
TKT_00105,Operations,Access,Critical,Resolved,2024-08-13,13.0,AGT_041,3.0,2024-08-26,1,0
TKT_00106,IT,Payroll,High,Resolved,2024-10-23,21.0,AGT_006,,2024-11-13,3,0
TKT_00107,Finance,Network,Medium,Resolved,2024-07-15,29.0,AGT_021,5.0,2024-08-13,7,0
TKT_00108,HR,Network,Medium,Open,2024-12-09,4.0,AGT_043,,2024-12-13,7,1
TKT_00109,Operations,Network,Medium,Escalated,2024-10-08,3.0,AGT_007,1.0,2024-10-11,7,1
TKT_00110,HR,Hardware,Critical,Resolved,2024-06-02,19.0,AGT_009,4.0,2024-06-21,1,0
TKT_00111,HR,Access,Critical,Open,2025-12-04,19.0,AGT_044,,2025-12-23,1,0
TKT_00112,IT,Network,Medium,Resolved,2024-06-26,3.0,AGT_039,2.0,2024-06-29,7,1
TKT_00113,Finance,Payroll,Low,Resolved,2026-02-20,2.0,AGT_022,,2026-02-22,14,1
TKT_00114,Finance,Access,High,Resolved,2025-10-06,29.0,AGT_018,1.0,2025-11-04,3,0
TKT_00115,Operations,Maintenance,Critical,Escalated,2024-06-27,,AGT_024,1.0,,1,0
TKT_00116,Operations,Onboarding,Low,Open,2026-04-04,17.0,AGT_049,,2026-04-21,14,0
TKT_00117,Facilities,Software,Low,Resolved,2024-07-24,22.0,AGT_036,5.0,2024-08-15,14,0
TKT_00118,Finance,Software,Medium,Escalated,2025-02-28,18.0,AGT_039,1.0,2025-03-18,7,0
TKT_00119,Operations,Access,Medium,Escalated,2025-09-25,,AGT_016,4.0,,7,0
TKT_00120,HR,Hardware,Critical,Resolved,2024-08-18,19.0,AGT_047,5.0,2024-09-06,1,0
TKT_00121,HR,Hardware,Critical,Resolved,2026-04-12,8.0,AGT_035,,2026-04-20,1,0
TKT_00122,HR,Access,Medium,Resolved,2024-11-17,26.0,AGT_021,,2024-12-13,7,0
TKT_00123,Operations,Network,Critical,Resolved,2024-06-28,4.0,AGT_015,3.0,2024-07-02,1,0
TKT_00124,Finance,Onboarding,Low,Resolved,2026-03-14,,AGT_041,,,14,0
TKT_00125,HR,Maintenance,Medium,Escalated,2025-09-29,14.0,AGT_015,2.0,2025-10-13,7,0
TKT_00126,HR,Payroll,Medium,Resolved,2024-06-03,28.0,AGT_022,,2024-07-01,7,0
TKT_00127,Operations,Maintenance,Medium,Resolved,2024-11-02,22.0,AGT_033,,2024-11-24,7,0
TKT_00128,Operations,Maintenance,Low,Resolved,2025-12-28,21.0,AGT_043,,2026-01-18,14,0
TKT_00129,Finance,Payroll,Critical,Resolved,2024-11-04,,AGT_019,4.0,,1,0
TKT_00130,Operations,Maintenance,High,Escalated,2026-04-18,11.0,AGT_037,2.0,2026-04-29,3,0
TKT_00131,IT,Onboarding,High,Resolved,2025-12-29,4.0,AGT_039,3.0,2026-01-02,3,0
TKT_00132,Finance,Access,Low,Resolved,2026-05-23,7.0,AGT_041,2.0,2026-05-30,14,1
TKT_00133,IT,Software,Critical,Escalated,2025-02-14,5.0,AGT_039,2.0,2025-02-19,1,0
TKT_00134,Operations,Hardware,Low,Open,2024-10-19,9.0,AGT_044,2.0,2024-10-28,14,1
TKT_00135,Operations,Software,Critical,Open,2026-01-28,28.0,AGT_040,,2026-02-25,1,0
TKT_00136,HR,Onboarding,Low,Escalated,2024-08-04,15.0,AGT_049,2.0,2024-08-19,14,0
TKT_00137,IT,Network,Critical,Escalated,2025-04-29,28.0,AGT_005,2.0,2025-05-27,1,0
TKT_00138,IT,Hardware,Critical,Resolved,2026-01-18,2.0,AGT_028,,2026-01-20,1,0
TKT_00139,Operations,Access,Low,Open,2025-09-16,18.0,AGT_038,4.0,2025-10-04,14,0
TKT_00140,Facilities,Hardware,Low,Resolved,2024-07-02,3.0,AGT_023,5.0,2024-07-05,14,1
TKT_00141,Finance,Maintenance,High,Resolved,2025-01-22,28.0,AGT_015,,2025-02-19,3,0
TKT_00142,HR,Access,Low,Open,2026-03-05,14.0,AGT_023,1.0,2026-03-19,14,1
TKT_00143,Operations,Access,Medium,Resolved,2026-02-07,7.0,AGT_049,,2026-02-14,7,1
TKT_00144,IT,Software,Low,Open,2024-06-29,29.0,AGT_042,5.0,2024-07-28,14,0
TKT_00145,Finance,Payroll,Low,Escalated,2026-02-09,,AGT_042,,,14,0
TKT_00146,HR,Payroll,Medium,Resolved,2025-10-20,13.0,AGT_039,2.0,2025-11-02,7,0
TKT_00147,Finance,Network,Medium,Open,2026-01-28,26.0,AGT_046,2.0,2026-02-23,7,0
TKT_00148,Finance,Payroll,High,Resolved,2026-03-14,10.0,AGT_022,,2026-03-24,3,0
TKT_00149,HR,Payroll,High,Resolved,2024-07-04,24.0,AGT_010,2.0,2024-07-28,3,0
TKT_00150,Operations,Hardware,Low,Escalated,2026-04-24,18.0,AGT_009,,2026-05-12,14,0
TKT_00151,IT,Maintenance,Critical,Resolved,2025-07-16,16.0,AGT_036,3.0,2025-08-01,1,0
TKT_00152,Operations,Software,Critical,Open,2025-12-05,,AGT_046,4.0,,1,0
TKT_00153,Facilities,Hardware,Critical,Resolved,2026-04-20,2.0,AGT_031,,2026-04-22,1,0
TKT_00154,IT,Network,Medium,Resolved,2024-09-29,18.0,AGT_042,4.0,2024-10-17,7,0
TKT_00155,Facilities,Maintenance,Low,Escalated,2024-10-06,,AGT_044,,,14,0
TKT_00156,Operations,Onboarding,Critical,Resolved,2024-07-15,2.0,AGT_021,1.0,2024-07-17,1,0
TKT_00157,Finance,Access,Medium,Resolved,2026-03-01,17.0,AGT_006,4.0,2026-03-18,7,0
TKT_00158,Finance,Maintenance,Low,Resolved,2025-05-14,17.0,AGT_009,,2025-05-31,14,0
TKT_00159,HR,Hardware,Medium,Resolved,2025-07-28,,AGT_001,1.0,,7,0
TKT_00160,Operations,Hardware,Medium,Resolved,2025-01-25,3.0,AGT_037,,2025-01-28,7,1
TKT_00161,HR,Hardware,Medium,Resolved,2025-07-04,3.0,AGT_045,,2025-07-07,7,1
TKT_00162,Finance,Network,Low,Resolved,2025-03-27,22.0,AGT_003,3.0,2025-04-18,14,0
TKT_00163,Operations,Network,Medium,Resolved,2025-02-01,13.0,AGT_005,2.0,2025-02-14,7,0
TKT_00164,Operations,Maintenance,Critical,Resolved,2025-05-16,,AGT_036,,,1,0
TKT_00165,Finance,Payroll,Medium,Resolved,2026-05-09,8.0,AGT_006,,2026-05-17,7,0
TKT_00166,HR,Software,Low,Resolved,2026-01-28,2.0,AGT_032,3.0,2026-01-30,14,1
TKT_00167,Operations,Hardware,Low,Resolved,2025-02-26,14.0,AGT_043,,2025-03-12,14,1
TKT_00168,HR,Access,High,Open,2025-01-07,19.0,AGT_020,,2025-01-26,3,0
TKT_00169,Operations,Software,Medium,Resolved,2024-10-13,30.0,AGT_049,1.0,2024-11-12,7,0
TKT_00170,HR,Maintenance,Low,Resolved,2024-09-07,22.0,AGT_037,5.0,2024-09-29,14,0
TKT_00171,IT,Hardware,Critical,Resolved,2026-05-23,8.0,AGT_030,5.0,2026-05-31,1,0
TKT_00172,HR,Access,Low,Resolved,2025-06-24,5.0,AGT_016,3.0,2025-06-29,14,1
TKT_00173,Operations,Hardware,Medium,Resolved,2025-09-06,10.0,AGT_050,2.0,2025-09-16,7,0
TKT_00174,Operations,Hardware,Medium,Resolved,2025-07-29,30.0,AGT_005,3.0,2025-08-28,7,0
TKT_00175,HR,Access,Critical,Open,2025-07-09,3.0,AGT_008,4.0,2025-07-12,1,0
TKT_00176,Facilities,Software,Low,Escalated,2025-01-11,,AGT_006,,,14,0
TKT_00177,Facilities,Payroll,Low,Resolved,2025-02-01,19.0,AGT_019,,2025-02-20,14,0
TKT_00178,HR,Payroll,Medium,Escalated,2024-10-07,3.0,AGT_039,,2024-10-10,7,1
TKT_00179,IT,Maintenance,Medium,Resolved,2026-03-18,17.0,AGT_028,3.0,2026-04-04,7,0
TKT_00180,Finance,Payroll,Medium,Resolved,2024-09-11,30.0,AGT_016,5.0,2024-10-11,7,0
TKT_00181,Finance,Software,Critical,Resolved,2026-04-21,3.0,AGT_014,,2026-04-24,1,0
TKT_00182,Facilities,Network,Critical,Resolved,2024-07-21,12.0,AGT_028,3.0,2024-08-02,1,0
TKT_00183,Finance,Hardware,High,Resolved,2024-07-10,15.0,AGT_002,2.0,2024-07-25,3,0
TKT_00184,IT,Onboarding,Medium,Resolved,2024-07-01,23.0,AGT_037,1.0,2024-07-24,7,0
TKT_00185,Finance,Hardware,Critical,Resolved,2024-07-19,26.0,AGT_035,1.0,2024-08-14,1,0
TKT_00186,Facilities,Payroll,Low,Resolved,2025-12-05,1.0,AGT_040,5.0,2025-12-06,14,1
TKT_00187,Finance,Onboarding,High,Resolved,2024-07-02,18.0,AGT_046,,2024-07-20,3,0
TKT_00188,Operations,Maintenance,High,Resolved,2025-07-01,22.0,AGT_007,4.0,2025-07-23,3,0
TKT_00189,IT,Hardware,High,Escalated,2024-07-23,,AGT_004,4.0,,3,0
TKT_00190,IT,Maintenance,Critical,Open,2025-11-17,9.0,AGT_021,4.0,2025-11-26,1,0
TKT_00191,Facilities,Payroll,Critical,Resolved,2025-08-23,,AGT_043,3.0,,1,0
TKT_00192,IT,Hardware,Medium,Escalated,2026-01-22,,AGT_001,3.0,,7,0
TKT_00193,HR,Hardware,Medium,Resolved,2025-02-21,9.0,AGT_019,4.0,2025-03-02,7,0
TKT_00194,Finance,Maintenance,Low,Open,2026-01-16,7.0,AGT_044,1.0,2026-01-23,14,1
TKT_00195,Finance,Network,Critical,Resolved,2025-11-18,7.0,AGT_049,3.0,2025-11-25,1,0
TKT_00196,HR,Payroll,Medium,Escalated,2026-02-02,28.0,AGT_021,2.0,2026-03-02,7,0
TKT_00197,Facilities,Network,Medium,Resolved,2025-07-29,16.0,AGT_039,,2025-08-14,7,0
TKT_00198,Facilities,Maintenance,Medium,Resolved,2026-05-08,30.0,AGT_049,2.0,2026-06-07,7,0
TKT_00199,Facilities,Access,Low,Escalated,2025-04-21,3.0,AGT_025,4.0,2025-04-24,14,1
TKT_00200,Facilities,Payroll,Low,Resolved,2025-01-25,27.0,AGT_041,5.0,2025-02-21,14,0
TKT_00201,HR,Access,Medium,Resolved,2025-08-25,1.0,AGT_007,2.0,2025-08-26,7,1
TKT_00202,Operations,Software,Critical,Open,2025-03-13,5.0,AGT_040,,2025-03-18,1,0
TKT_00203,Facilities,Access,Low,Resolved,2025-08-02,9.0,AGT_042,5.0,2025-08-11,14,1
TKT_00204,IT,Onboarding,High,Escalated,2024-06-04,,AGT_029,3.0,,3,0
TKT_00205,HR,Payroll,High,Resolved,2025-04-15,23.0,AGT_042,1.0,2025-05-08,3,0
TKT_00206,IT,Onboarding,Critical,Escalated,2025-01-31,1.0,AGT_018,5.0,2025-02-01,1,1
TKT_00207,Finance,Hardware,Critical,Open,2025-08-20,,AGT_004,4.0,,1,0
TKT_00208,Facilities,Payroll,High,Escalated,2024-11-27,23.0,AGT_002,1.0,2024-12-20,3,0
TKT_00209,Operations,Network,High,Resolved,2025-11-26,18.0,AGT_046,2.0,2025-12-14,3,0
TKT_00210,Facilities,Maintenance,Medium,Open,2024-07-07,,AGT_024,5.0,,7,0
TKT_00211,Finance,Network,High,Escalated,2025-08-19,18.0,AGT_040,,2025-09-06,3,0
TKT_00212,IT,Onboarding,Critical,Resolved,2025-05-17,,AGT_032,1.0,,1,0
TKT_00213,Operations,Hardware,Critical,Resolved,2024-08-30,,AGT_024,4.0,,1,0
TKT_00214,HR,Software,Low,Resolved,2026-01-12,29.0,AGT_050,,2026-02-10,14,0
TKT_00215,HR,Onboarding,Critical,Resolved,2025-11-18,28.0,AGT_034,5.0,2025-12-16,1,0
TKT_00216,IT,Payroll,Low,Open,2025-11-05,,AGT_014,3.0,,14,0
TKT_00217,Finance,Onboarding,Critical,Escalated,2025-04-25,22.0,AGT_017,,2025-05-17,1,0
TKT_00218,Operations,Maintenance,High,Resolved,2025-12-10,4.0,AGT_044,,2025-12-14,3,0
TKT_00219,Finance,Network,Critical,Resolved,2024-09-29,18.0,AGT_019,,2024-10-17,1,0
TKT_00220,Finance,Software,Medium,Open,2025-11-04,14.0,AGT_023,4.0,2025-11-18,7,0
TKT_00221,Facilities,Software,High,Resolved,2026-04-18,24.0,AGT_039,,2026-05-12,3,0
TKT_00222,HR,Onboarding,High,Escalated,2025-10-21,,AGT_048,2.0,,3,0
TKT_00223,Operations,Network,Medium,Resolved,2026-03-31,28.0,AGT_018,4.0,2026-04-28,7,0
TKT_00224,Facilities,Hardware,High,Escalated,2026-02-24,,AGT_011,,,3,0
TKT_00225,Facilities,Access,Critical,Escalated,2025-10-31,6.0,AGT_006,,2025-11-06,1,0
TKT_00226,Facilities,Access,Medium,Resolved,2026-02-02,1.0,AGT_002,1.0,2026-02-03,7,1
TKT_00227,Finance,Software,Critical,Open,2025-09-05,,AGT_046,,,1,0
TKT_00228,IT,Network,Critical,Resolved,2024-09-07,26.0,AGT_020,3.0,2024-10-03,1,0
TKT_00229,Operations,Network,High,Resolved,2025-02-27,26.0,AGT_011,4.0,2025-03-25,3,0
TKT_00230,Operations,Software,Critical,Resolved,2024-07-14,24.0,AGT_002,3.0,2024-08-07,1,0
TKT_00231,Facilities,Hardware,Critical,Escalated,2025-12-25,9.0,AGT_044,3.0,2026-01-03,1,0
TKT_00232,HR,Payroll,High,Resolved,2025-08-13,,AGT_033,,,3,0
TKT_00233,HR,Hardware,Low,Resolved,2025-12-09,13.0,AGT_019,4.0,2025-12-22,14,1
TKT_00234,Finance,Hardware,Critical,Open,2025-06-11,28.0,AGT_006,3.0,2025-07-09,1,0
TKT_00235,IT,Software,Low,Escalated,2024-12-02,7.0,AGT_033,,2024-12-09,14,1
TKT_00236,Finance,Software,High,Resolved,2025-01-21,15.0,AGT_012,5.0,2025-02-05,3,0
TKT_00237,Finance,Hardware,Critical,Resolved,2025-07-18,27.0,AGT_035,5.0,2025-08-14,1,0
TKT_00238,Operations,Software,High,Escalated,2026-05-27,8.0,AGT_041,4.0,2026-06-04,3,0
TKT_00239,HR,Maintenance,Critical,Escalated,2025-09-11,22.0,AGT_027,4.0,2025-10-03,1,0
TKT_00240,Facilities,Payroll,Critical,Escalated,2025-09-19,,AGT_021,4.0,,1,0
TKT_00241,Finance,Onboarding,Critical,Resolved,2025-10-22,28.0,AGT_018,5.0,2025-11-19,1,0
TKT_00242,Operations,Access,Low,Escalated,2025-02-14,,AGT_037,,,14,0
TKT_00243,HR,Network,Critical,Resolved,2025-06-12,12.0,AGT_003,,2025-06-24,1,0
TKT_00244,Operations,Network,Low,Resolved,2024-07-18,13.0,AGT_030,,2024-07-31,14,1
TKT_00245,Facilities,Access,Medium,Open,2024-07-08,27.0,AGT_036,,2024-08-04,7,0
TKT_00246,IT,Network,Critical,Resolved,2025-09-20,1.0,AGT_029,2.0,2025-09-21,1,1
TKT_00247,IT,Hardware,Medium,Open,2025-02-05,,AGT_012,,,7,0
TKT_00248,IT,Network,High,Resolved,2025-07-18,6.0,AGT_021,1.0,2025-07-24,3,0
TKT_00249,Facilities,Access,Medium,Escalated,2024-07-28,9.0,AGT_022,1.0,2024-08-06,7,0
TKT_00250,HR,Onboarding,Critical,Resolved,2026-03-11,,AGT_003,2.0,,1,0
TKT_00251,HR,Software,Low,Resolved,2024-10-21,12.0,AGT_046,5.0,2024-11-02,14,1
TKT_00252,Operations,Software,Medium,Resolved,2025-11-01,11.0,AGT_024,1.0,2025-11-12,7,0
TKT_00253,IT,Access,Medium,Resolved,2026-03-29,17.0,AGT_020,3.0,2026-04-15,7,0
TKT_00254,HR,Network,Critical,Open,2026-03-21,,AGT_008,1.0,,1,0
TKT_00255,Operations,Hardware,Low,Resolved,2025-05-27,7.0,AGT_022,2.0,2025-06-03,14,1
TKT_00256,Operations,Hardware,Critical,Resolved,2025-08-15,23.0,AGT_008,2.0,2025-09-07,1,0
TKT_00257,Facilities,Access,High,Escalated,2026-04-24,17.0,AGT_039,,2026-05-11,3,0
TKT_00258,IT,Onboarding,Low,Resolved,2025-03-14,18.0,AGT_004,5.0,2025-04-01,14,0
TKT_00259,IT,Software,Critical,Open,2025-01-29,24.0,AGT_037,1.0,2025-02-22,1,0
TKT_00260,Facilities,Hardware,Low,Resolved,2025-10-01,7.0,AGT_014,,2025-10-08,14,1
TKT_00261,Operations,Payroll,Low,Resolved,2026-05-26,3.0,AGT_030,2.0,2026-05-29,14,1
TKT_00262,HR,Payroll,High,Resolved,2025-10-31,30.0,AGT_024,,2025-11-30,3,0
TKT_00263,HR,Payroll,Medium,Resolved,2025-11-14,11.0,AGT_029,4.0,2025-11-25,7,0
TKT_00264,HR,Hardware,Critical,Resolved,2025-10-16,4.0,AGT_049,1.0,2025-10-20,1,0
